id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the retrieved chunks, which specifies a 15-minute initial response time and a 4-hour resolution time.",5,"The answer directly addresses the query by providing specific SLA times for P1 tickets, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,5,"Both answers convey the same key points regarding the SLA for ticket P1, including the initial response time of 15 minutes and the resolution time of 4 hours.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that customers can request a refund within 7 working days from the order confirmation, which is consistent with the conditions outlined.",5,The answer directly addresses the query by specifying the time frame (7 days) within which customers can request a refund.,5,Retrieved: 1/1 expected sources,5,The model answer includes all important points in the expected answer.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirement for Level 3 access, which states that approval is needed from the Line Manager, IT Admin, and IT Security, as detailed in the provided context.",5,The answer directly addresses the query by specifying the individuals required for Level 3 approval.,5,Retrieved: 1/1 expected sources,5,"Both answers mention the need for approval from Line Manager, IT Admin, and IT Security for Level 3 access, covering all key points.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not eligible for refunds unless there is a manufacturing defect, which aligns with the provided context. However, it does not mention the specific time frame for refund requests or the conditions for other products, which could lead to a misunderstanding of the full policy.",5,"The answer directly addresses the query about the refund policy for digital products, stating that they are generally non-refundable except in specific circumstances.",5,Retrieved: 1/1 expected sources,3,"The model answer mentions that digital products are non-refundable unless there is a manufacturer error, but it does not explicitly state that digital products are exceptions to the refund policy, as highlighted in the expected answer.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 consecutive failed login attempts and the options for unlocking the account.,5,The answer directly addresses the query by stating that the account is locked after 5 consecutive failed login attempts and provides information on how to unlock it.,5,Retrieved: 1/1 expected sources,4,"The model answer includes additional information about unlocking the account, which is not present in the expected answer, but it still covers the key point about the account being locked after 5 failed login attempts.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, quy trình escalation khẩn cấp cho phép On-call IT Admin cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the escalation process for P1 incidents and the emergency escalation procedure for granting temporary permissions.,5,"The answer provides a detailed explanation of the escalation process for P1 incidents, including the automatic escalation to a Senior Engineer and the emergency escalation procedure involving On-call IT Admin, which directly addresses the query.",5,Retrieved: 1/1 expected sources,4,"The model answer includes the escalation process and the temporary permissions granted to the On-call IT Admin, which are not mentioned in the expected answer. However, it does not explicitly state that the ticket is escalated after creation, which is a key point in the expected answer.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the content of the retrieved chunks, specifically mentioning the approval process for accessing internal systems as outlined in the first chunk.",5,The answer directly addresses the query by explaining what the Approval Matrix is and its purpose in the context of granting access rights to internal systems.,5,Retrieved: 1/1 expected sources,2,The model answer mentions the approval matrix for system access but does not include the updated name 'Access Control SOP' or the specific document reference.,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the first chunk regarding remote work conditions, specifically that employees can work remotely up to 2 days per week after the probation period.",5,The answer directly addresses the query by specifying the maximum number of remote work days allowed per week after the probation period.,5,Retrieved: 1/1 expected sources,4,"The model answer includes the key point about remote work being allowed after the probation period and specifies the maximum number of days (2 days/week), but it omits the requirement for Team Lead approval.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý là kiểm tra và đảm bảo rằng người dùng có quyền truy cập phù hợp hoặc yêu cầu cấp quyền từ quản lý hoặc bộ phận IT. [1]","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately describes the nature of the ERR-403-AUTH error as related to access rights, which aligns with the context provided about access levels and the need for appropriate permissions.",5,"The answer directly addresses the query about ERR-403-AUTH, explaining what the error is and providing a clear method for resolution.",,No expected sources,3,"The model answer provides some relevant information about the ERR-403-AUTH error and suggests checking user permissions, but it does not mention the lack of documentation or the suggestion to contact IT Helpdesk, which are key points in the expected answer.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào trong ngữ cảnh về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no specific information about an emergency refund process for VIP customers, which is not supported by the provided chunks that discuss refund conditions and methods.",2,"The answer acknowledges the lack of specific information regarding the refund process for VIP customers, but it does not provide any relevant details or guidance related to the query.",5,Retrieved: 1/1 expected sources,2,"The model answer acknowledges the lack of specific information but does not mention the standard refund process or the timeframe, which are key points in the expected answer.",variant_hybrid_rerank
